                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                0.87271,                 1.1595,                0.75458,                0.95671,                0.94887,                0.96251,                0.95702,                 0.7695,                0.95064,                  0.956,                0.95507,                 0.6999,                0.81485,                 1.1702,                0.73691,                0.97663,             0.00096801,             0.00096801,             0.00096801
                     16,                0.84206,                 1.1521,                0.72928,                0.94806,                0.95437,                0.96561,                0.95825,                0.77993,                0.95428,                0.95714,                0.95643,                0.71026,                0.77286,                 1.2132,                0.68116,                0.96242,             0.00095702,             0.00095702,             0.00095702
                     17,                0.81479,                 1.0898,                0.70424,                0.94875,                0.93627,                0.96619,                0.95131,                0.78098,                0.93922,                0.96946,                0.95949,                0.70192,                0.75305,                 1.1723,                0.67133,                0.95346,             0.00094602,             0.00094602,             0.00094602
                     18,                  0.827,                 1.0993,                0.69218,                0.93236,                0.94252,                0.96752,                0.95715,                0.76461,                0.94155,                 0.9601,                0.95754,                0.72948,                0.80499,                 1.1969,                0.66772,                0.95758,             0.00093502,             0.00093502,             0.00093502
                     19,                0.84852,                 1.1214,                0.72743,                0.95192,                 0.9565,                0.97401,                0.95762,                0.77086,                0.94341,                0.96066,                0.94835,                0.69427,                0.76294,                 1.2187,                0.67374,                0.95627,             0.00092402,             0.00092402,             0.00092402
                     20,                0.81041,                0.99468,                0.68198,                0.94561,                0.94284,                0.97594,                0.95859,                0.78253,                0.94134,                0.97453,                0.95774,                0.70239,                0.73486,                 1.2291,                0.63579,                0.96123,             0.00091302,             0.00091302,             0.00091302
                     21,                0.83769,                 1.0972,                0.69278,                0.93569,                0.95823,                0.96474,                0.95813,                0.77763,                0.95511,                0.96178,                0.95684,                0.72159,                0.76952,                 1.2303,                0.62856,                0.96207,             0.00090202,             0.00090202,             0.00090202
                     22,                0.78307,                 1.0623,                 0.6568,                0.93201,                0.92688,                0.95862,                0.95578,                0.79048,                0.93219,                0.95271,                  0.954,                0.71063,                0.73145,                 1.2531,                0.63005,                0.95096,             0.00089102,             0.00089102,             0.00089102
                     23,                0.79125,                 1.0535,                0.65197,                 0.9309,                 0.9487,                0.97134,                0.96342,                0.79266,                0.94587,                0.96838,                0.96261,                0.71039,                0.72787,                 1.2642,                0.60825,                0.94994,             0.00088002,             0.00088002,             0.00088002
                     24,                0.82786,                 1.0936,                0.66201,                 0.9296,                0.93193,                0.96738,                0.94532,                   0.79,                0.92733,                0.95922,                0.95204,                0.71252,                0.73206,                 1.2187,                0.60693,                0.96185,             0.00086902,             0.00086902,             0.00086902
                     25,                0.78077,                 1.0792,                 0.6403,                0.93423,                0.94364,                0.98044,                0.96026,                0.80172,                0.93936,                0.97604,                0.95944,                0.71273,                0.72174,                 1.3227,                0.58731,                0.94901,             0.00085803,             0.00085803,             0.00085803
                     26,                0.79333,                 1.0429,                0.64448,                0.92651,                0.94885,                0.96984,                0.95426,                0.79387,                0.94274,                0.96851,                0.96054,                0.72152,                0.74024,                  1.179,                0.60066,                0.95759,             0.00084703,             0.00084703,             0.00084703
                     27,                0.77349,                 1.0621,                0.61934,                0.92557,                0.95011,                0.97999,                0.96104,                0.79984,                0.94436,                0.97419,                0.96002,                0.71783,                0.70221,                 1.2389,                0.57113,                0.94689,             0.00083603,             0.00083603,             0.00083603
                     28,                0.79397,                 1.0657,                0.62539,                0.92826,                0.94741,                0.97671,                 0.9558,                0.78429,                0.93604,                0.95886,                0.95049,                0.69422,                0.76148,                 1.3203,                0.59489,                0.95318,             0.00082503,             0.00082503,             0.00082503
                     29,                0.75936,                 1.0049,                0.60916,                 0.9277,                0.94988,                0.97404,                0.95875,                 0.7916,                 0.9484,                0.97256,                0.96004,                0.72393,                0.72544,                  1.229,                 0.5725,                0.93876,             0.00081403,             0.00081403,             0.00081403
                     30,                0.79156,                 1.0012,                0.61355,                0.91893,                0.94587,                0.97524,                0.96413,                0.79898,                0.94138,                0.97108,                0.96352,                0.71548,                0.71723,                 1.2444,                0.56884,                0.93284,             0.00080303,             0.00080303,             0.00080303
                     31,                0.76443,                 1.0344,                0.59436,                0.92459,                0.95018,                 0.9806,                0.96437,                0.80422,                0.94873,                0.97912,                0.96474,                0.74104,                0.71264,                 1.2222,                 0.5573,                 0.9386,             0.00079203,             0.00079203,             0.00079203
                     32,                0.76356,                 1.0291,                0.58683,                0.92584,                0.95015,                0.97552,                0.96033,                0.79543,                0.94908,                0.96814,                0.96061,                 0.7364,                0.74677,                 1.1979,                0.54371,                0.94331,             0.00078103,             0.00078103,             0.00078103
                     33,                0.74972,                 1.0102,                 0.5793,                0.91856,                0.94024,                0.97058,                0.95152,                0.80765,                0.94295,                0.97362,                0.96433,                0.72734,                0.72598,                 1.2562,                0.54862,                 0.9432,             0.00077003,             0.00077003,             0.00077003
                     34,                0.76069,                 1.0418,                0.58817,                  0.922,                0.91629,                0.96347,                0.97014,                0.80798,                 0.9086,                 0.9657,                 0.9664,                0.73835,                0.71078,                 1.1664,                0.58317,                0.93048,             0.00075904,             0.00075904,             0.00075904
                     35,                0.74635,                 1.0612,                0.57839,                0.91161,                0.94627,                0.97252,                0.96271,                0.80483,                0.93885,                0.96525,                0.96191,                0.72697,                0.69383,                  1.155,                0.54838,                0.93198,             0.00074804,             0.00074804,             0.00074804
                     36,                0.75638,                0.98632,                0.58123,                 0.9155,                0.94839,                0.97738,                0.97071,                0.81393,                0.93767,                0.96902,                0.96486,                0.74772,                0.69783,                 1.2112,                0.54161,                0.92889,             0.00073704,             0.00073704,             0.00073704
                     37,                0.77233,                 1.0605,                0.58529,                 0.9203,                0.95286,                0.97526,                0.96914,                 0.8088,                0.93824,                0.95767,                0.95914,                0.72084,                0.70605,                 1.2448,                0.54373,                0.92804,             0.00072604,             0.00072604,             0.00072604
                     38,                0.75118,                 1.0188,                0.55952,                0.91304,                0.95152,                0.97238,                0.96693,                0.80207,                0.94417,                0.96351,                0.96044,                0.72724,                0.70631,                 1.1479,                0.54032,                0.93072,             0.00071504,             0.00071504,             0.00071504
                     39,                0.74318,                 1.0416,                0.56644,                0.91965,                0.93976,                0.97316,                0.96554,                0.79383,                0.93332,                 0.9676,                 0.9614,                0.71671,                0.68481,                 1.1984,                0.53379,                0.92979,             0.00070404,             0.00070404,             0.00070404
                     40,                0.72953,                0.99285,                0.55229,                0.90827,                0.93699,                0.96241,                  0.957,                0.79004,                0.93712,                0.95281,                0.95545,                0.72186,                0.71549,                 1.1131,                0.54414,                0.93636,             0.00069304,             0.00069304,             0.00069304
                     41,                0.71912,                0.98261,                 0.5505,                0.91841,                0.94007,                0.96808,                0.96199,                 0.8079,                0.93592,                0.96533,                0.95912,                0.71386,                0.68775,                 1.1871,                0.54515,                0.93541,             0.00068204,             0.00068204,             0.00068204
                     42,                0.75232,                 1.0383,                0.55466,                0.91324,                0.94367,                0.96328,                0.96055,                0.81738,                0.93778,                0.95746,                0.95979,                0.72421,                0.68567,                 1.2571,                0.53918,                0.93033,             0.00067104,             0.00067104,             0.00067104
                     43,                0.72949,                 1.0029,                0.55457,                0.90757,                 0.9432,                0.96515,                0.96288,                0.81765,                0.93661,                0.95495,                 0.9571,                0.72759,                  0.676,                 1.2161,                0.52246,                0.92625,             0.00066005,             0.00066005,             0.00066005
                     44,                0.71509,                 0.9585,                0.53607,                0.90614,                 0.9436,                0.97193,                0.95542,                 0.7934,                0.93915,                0.96751,                0.95285,                 0.7042,                0.70212,                 1.2133,                0.52522,                0.92938,             0.00064905,             0.00064905,             0.00064905
                     45,                0.71205,                0.93529,                0.53872,                0.91785,                0.94701,                0.96881,                0.96511,                0.80335,                0.93848,                0.95912,                0.95963,                 0.7087,                0.69049,                  1.205,                0.51818,                0.92542,             0.00063805,             0.00063805,             0.00063805
                     46,                0.71191,                0.96821,                0.53683,                0.90503,                0.94767,                0.95556,                0.95938,                0.79185,                0.93681,                0.94424,                0.95425,                0.69693,                0.70878,                 1.1845,                0.52221,                0.93542,             0.00062705,             0.00062705,             0.00062705
                     47,                0.71267,                0.96275,                0.52753,                0.90109,                0.95164,                0.98096,                0.96165,                0.79714,                0.95086,                0.97102,                0.95834,                0.71264,                0.70819,                 1.1858,                0.52162,                0.93106,             0.00061605,             0.00061605,             0.00061605
                     48,                0.73381,                0.95728,                0.52622,                0.91477,                0.95421,                0.98062,                0.96392,                 0.8118,                0.94811,                0.96984,                0.96181,                 0.7311,                0.68403,                 1.2388,                0.49933,                0.91378,             0.00060505,             0.00060505,             0.00060505
                     49,                0.71371,                 1.0304,                0.51782,                0.90344,                 0.9413,                0.97061,                 0.9597,                0.80635,                0.93892,                0.96351,                 0.9567,                  0.721,                0.66655,                 1.2997,                0.50596,                0.91842,             0.00059405,             0.00059405,             0.00059405
                     50,                0.73841,                 1.0067,                0.54194,                0.91266,                0.92452,                 0.9574,                0.95308,                0.80804,                0.92007,                0.95136,                0.95126,                0.72054,                0.66675,                 1.2667,                0.53044,                0.91661,             0.00058305,             0.00058305,             0.00058305
                     51,                0.70303,                0.98301,                0.52453,                0.91104,                0.94068,                0.96438,                0.95616,                0.80365,                0.94025,                0.96267,                0.95674,                0.71777,                0.66197,                 1.3119,                0.50389,                0.92054,             0.00057205,             0.00057205,             0.00057205
                     52,                0.72099,                 1.0341,                0.51611,                0.91269,                0.93458,                0.96558,                0.96306,                0.80987,                0.93023,                 0.9612,                0.95915,                0.74599,                0.67266,                 1.2554,                0.50231,                0.91458,             0.00056105,             0.00056105,             0.00056105
                     53,                0.72393,                 1.0313,                 0.5239,                0.90899,                0.93621,                0.96622,                0.96025,                0.81143,                0.92728,                0.95738,                0.95478,                0.72183,                0.66515,                 1.2077,                0.49294,                0.91422,             0.00055006,             0.00055006,             0.00055006
                     54,                0.72217,                0.97042,                0.51209,                0.90118,                0.93732,                0.96217,                0.94636,                 0.7997,                0.93089,                 0.9632,                0.94291,                 0.7174,                0.67987,                 1.1676,                0.49963,                0.92024,             0.00053906,             0.00053906,             0.00053906
                     55,                0.71689,                 1.0289,                0.50962,                0.90718,                0.93907,                0.96949,                0.95813,                0.80895,                 0.9376,                0.96801,                0.95632,                 0.7224,                0.67895,                 1.1594,                0.48641,                0.93427,             0.00052806,             0.00052806,             0.00052806
                     56,                0.70446,                 1.0031,                 0.5076,                0.90711,                0.93602,                0.96327,                0.95841,                0.81321,                0.93452,                0.96183,                0.95664,                0.71814,                0.65663,                 1.1644,                0.49376,                0.92888,             0.00051706,             0.00051706,             0.00051706
                     57,                0.69698,                0.99607,                0.50636,                0.90631,                0.93513,                0.95712,                0.95649,                0.81036,                0.93433,                0.95787,                0.95414,                0.71809,                0.64727,                 1.2219,                0.49832,                0.92356,             0.00050606,             0.00050606,             0.00050606
                     58,                0.68382,                0.96019,                0.49107,                0.89648,                0.93768,                0.96264,                0.95419,                 0.8084,                0.93768,                0.96264,                0.95152,                0.72171,                0.66033,                 1.2462,                0.49181,                0.92746,             0.00049506,             0.00049506,             0.00049506
                     59,                0.68965,                 0.9779,                0.48357,                0.89952,                0.94213,                0.96317,                0.95503,                0.81006,                0.94451,                  0.962,                0.95289,                 0.7201,                0.68135,                 1.1726,                0.47829,                0.94143,             0.00048406,             0.00048406,             0.00048406
                     60,                0.69975,                0.92596,                0.49944,                 0.8972,                0.93692,                0.96333,                0.95967,                0.81049,                0.94015,                0.96307,                0.95959,                0.73338,                0.65359,                 1.2298,                0.46955,                0.92747,             0.00047306,             0.00047306,             0.00047306
                     61,                0.66427,                0.92272,                0.49672,                0.89357,                 0.9395,                0.95875,                0.95712,                0.80923,                0.93801,                0.95727,                0.95502,                0.71336,                0.65457,                 1.2399,                 0.4778,                0.92165,             0.00046206,             0.00046206,             0.00046206
                     62,                0.69165,                 0.9684,                0.48811,                0.89664,                0.94004,                0.95833,                0.95537,                0.79607,                0.93854,                0.95685,                0.95229,                0.70931,                 0.6653,                 1.2318,                 0.4843,                0.92611,             0.00045107,             0.00045107,             0.00045107
                     63,                0.68473,                0.97268,                0.49008,                0.89588,                0.94248,                 0.9642,                 0.9575,                0.80961,                 0.9364,                0.95831,                0.95155,                0.70447,                0.65478,                 1.2636,                 0.4659,                0.92006,             0.00044007,             0.00044007,             0.00044007
                     64,                0.67148,                0.96886,                 0.4823,                 0.8913,                0.94358,                0.96451,                0.95632,                0.81179,                0.93916,                0.96008,                0.95286,                 0.7175,                0.64694,                 1.2731,                 0.4715,                0.91958,             0.00042907,             0.00042907,             0.00042907
                     65,                0.68128,                 1.0074,                0.48075,                0.89795,                0.94341,                0.96464,                0.95582,                0.80679,                0.94334,                0.96251,                0.95512,                0.71794,                0.64805,                 1.2536,                0.46878,                0.91752,             0.00041807,             0.00041807,             0.00041807
                     66,                0.69253,                 0.9947,                0.49077,                0.90194,                0.94143,                0.96031,                0.95054,                0.80739,                 0.9308,                0.95004,                0.94185,                0.71218,                0.65758,                 1.1852,                0.47831,                0.92525,             0.00040707,             0.00040707,             0.00040707
                     67,                0.69666,                0.98001,                0.50043,                 0.8941,                  0.944,                0.95968,                0.95724,                0.81773,                0.94028,                  0.953,                0.95116,                0.72981,                0.65209,                 1.1928,                0.46965,                0.91411,             0.00039607,             0.00039607,             0.00039607
                     68,                0.64678,                0.89562,                0.46344,                0.88744,                0.94123,                0.96368,                0.95864,                0.81973,                0.93525,                0.95779,                0.95478,                0.73067,                 0.6503,                 1.2226,                0.47268,                0.90797,             0.00038507,             0.00038507,             0.00038507
                     69,                0.66186,                0.90382,                0.46321,                 0.8835,                0.94017,                0.96796,                0.95803,                0.81584,                0.93716,                0.95562,                0.95439,                0.72367,                0.65027,                 1.2277,                0.49064,                0.90975,             0.00037407,             0.00037407,             0.00037407
                     70,                0.65771,                0.92672,                 0.4749,                0.89641,                0.94286,                0.96251,                0.95867,                0.81797,                0.94455,                0.96024,                0.95868,                0.72352,                0.64737,                 1.2461,                0.47371,                0.90964,             0.00036307,             0.00036307,             0.00036307
                     71,                0.66727,                0.95577,                0.47182,                0.89616,                 0.9408,                0.96396,                 0.9584,                0.81475,                 0.9364,                0.95417,                0.95625,                0.71717,                0.66322,                 1.1735,                0.46456,                 0.9186,             0.00035208,             0.00035208,             0.00035208
                     72,                0.66193,                   0.93,                0.46827,                0.89204,                0.94306,                0.96458,                0.95886,                  0.809,                0.93712,                0.95869,                0.95537,                0.72598,                0.66038,                 1.2286,                0.46458,                0.92193,             0.00034108,             0.00034108,             0.00034108
                     73,                0.64754,                0.92757,                0.45778,                0.89108,                0.93904,                0.96806,                0.95452,                0.80599,                0.93171,                 0.9607,                0.94884,                0.72003,                0.65662,                  1.219,                0.45737,                0.92753,             0.00033008,             0.00033008,             0.00033008
                     74,                0.65784,                0.92581,                0.45908,                0.89295,                0.93951,                0.96839,                0.95416,                  0.803,                0.93211,                0.96101,                0.94735,                0.72433,                0.65732,                 1.2667,                0.46318,                0.91893,             0.00031908,             0.00031908,             0.00031908
                     75,                0.67836,                0.94284,                0.46647,                0.89217,                0.94487,                0.96352,                0.95493,                0.80427,                0.93357,                0.94982,                0.94495,                 0.7294,                0.66076,                 1.2423,                 0.4655,                 0.9173,             0.00030808,             0.00030808,             0.00030808
                     76,                0.64032,                0.88807,                0.45294,                0.89088,                0.94396,                0.96601,                0.95777,                0.81353,                0.93947,                0.96159,                0.95291,                0.73574,                0.64427,                 1.1893,                 0.4506,                 0.9121,             0.00029708,             0.00029708,             0.00029708
                     77,                0.65341,                0.91578,                0.44911,                  0.889,                0.94461,                0.96917,                0.95751,                 0.8191,                0.93867,                0.96327,                0.95092,                0.73657,                0.65039,                 1.2347,                0.45052,                0.91621,             0.00028608,             0.00028608,             0.00028608
                     78,                0.65551,                0.95113,                0.45793,                0.88649,                0.94314,                 0.9659,                0.95733,                0.81839,                0.93717,                0.96009,                0.95062,                0.72345,                0.64762,                 1.2127,                0.45571,                0.92426,             0.00027508,             0.00027508,             0.00027508
                     79,                0.66194,                0.92092,                0.46363,                0.90212,                0.94178,                0.96741,                0.95437,                0.81416,                0.93291,                0.95855,                0.94615,                0.72097,                0.65068,                  1.212,                0.45375,                0.91766,             0.00026408,             0.00026408,             0.00026408
                     80,                0.63813,                0.88284,                0.45084,                 0.8825,                0.94301,                0.96473,                0.95571,                 0.8115,                0.93857,                 0.9603,                0.95103,                0.72679,                0.64558,                 1.2258,                0.44848,                 0.9155,             0.00025309,             0.00025309,             0.00025309
                     81,                0.61237,                0.86274,                0.43287,                0.87821,                0.94335,                0.96648,                0.95472,                0.81195,                0.93741,                0.96057,                0.94881,                0.72573,                0.63452,                 1.2375,                0.44092,                0.91842,             0.00024209,             0.00024209,             0.00024209
                     82,                0.65733,                0.93245,                0.45249,                 0.8853,                  0.942,                0.96171,                0.95325,                0.81139,                0.94147,                0.95284,                0.94942,                0.73106,                0.64279,                 1.2393,                0.44244,                0.91734,             0.00023109,             0.00023109,             0.00023109
                     83,                0.64625,                 0.9393,                0.44599,                0.89143,                0.94253,                0.96094,                0.95187,                0.82052,                0.93943,                0.95145,                0.94625,                0.73489,                0.62776,                 1.2209,                0.44607,                0.91137,             0.00022009,             0.00022009,             0.00022009
                     84,                 0.6427,                0.91993,                0.44796,                0.89337,                 0.9451,                 0.9591,                0.95322,                0.81613,                0.94118,                0.95437,                0.94823,                0.73182,                0.62138,                 1.1822,                0.44556,                0.91001,             0.00020909,             0.00020909,             0.00020909
                     85,                0.65019,                0.92828,                0.44996,                0.88914,                0.94137,                0.95986,                0.95373,                0.81713,                0.93534,                0.95397,                0.94732,                0.72797,                0.61629,                 1.1831,                0.44368,                0.90848,             0.00019809,             0.00019809,             0.00019809
                     86,                0.62962,                0.89894,                0.44292,                0.88659,                0.94054,                0.95978,                0.95428,                0.81647,                0.93304,                0.95238,                0.94996,                0.73268,                0.63601,                  1.176,                0.44243,                0.91416,             0.00018709,             0.00018709,             0.00018709
